"Gene","LOF","dmis","mis","syn","dn.LoF","dn.mis3","dn.mis","dn.syn","BF.dn","pval.TADA.dn","qvalue.dn"
"ETS1",2.64e-06,3.45e-06,1.63e-05,6.99e-06,0,0,1,0,0.503732225621562,0.711518412372249,0.932332797590635
"FRS3",2.57e-06,3.82e-06,1.88e-05,7.62e-06,0,0,0,0,0.50367114877294,0.711567620180609,0.932335534148078
"UXS1",2.4e-06,4.72e-06,1.59e-05,7.75e-06,0,0,0,0,0.503671066446824,0.711616827988969,0.932338270295798
"TRIM42",3e-06,1.6e-06,2.26e-05,9.21e-06,0,0,0,0,0.50365840496751,0.711668198777916,0.932341006090353
"KL",2.41e-06,4.67e-06,1.76e-05,7.89e-06,0,0,0,0,0.503607252796468,0.711717406586276,0.932343741704599
"TMCO3",2.87e-06,2.27e-06,2.41e-05,1.18e-05,0,0,0,0,0.503519920408288,0.711767155139783,0.93234647730097
"CSAD",2.46e-06,4.41e-06,1.78e-05,7.59e-06,0,0,1,0,0.503494143242359,0.711816903693289,0.932349212603206
"NOSTRIN",2.98e-06,1.71e-06,1.3e-05,5.62e-06,0,0,0,0,0.503488064066095,0.711868274482237,0.932351947522971
"RTCB",2.53e-06,4.04e-06,1.46e-05,5.45e-06,0,0,0,0,0.503487906774368,0.71191856378089,0.932354682033778
"DUSP16",2.82e-06,2.53e-06,1.96e-05,8.86e-06,0,0,0,0,0.503459057959851,0.71196939382469,0.932357416264462
"TAPT1",2.71e-06,3.1e-06,1.81e-05,8.45e-06,0,0,0,0,0.503440267077011,0.712021305358784,0.932360150169956
"VPS4B",2.72e-06,3.05e-06,1.21e-05,4.93e-06,0,0,0,0,0.503401750068489,0.712069972421998,0.932362883838837
"CNBD2",2.97e-06,1.77e-06,1.71e-05,6.48e-06,0,0,0,0,0.503303664379955,0.712121343210945,0.932365617538396
"PLK3",2.91e-06,2.08e-06,2.13e-05,8.73e-06,0,0,0,0,0.503223152077688,0.712172713999892,0.932368351189798
