"Gene","LOF","dmis","mis","syn","dn.LoF","dn.mis3","dn.mis","dn.syn","BF.dn","pval.TADA.dn","qvalue.dn"
"SCN2A",8.91e-06,2.25e-05,5.54e-05,2.1e-05,12,14,0,0,1.2671607889884e+28,2.70372573406154e-07,0
"ARID1B",4.46e-06,4.82e-06,4.37e-05,2.73e-05,17,0,3,0,4.45169533565829e+23,2.70372573406154e-07,0
"SYNGAP1",6.54e-06,9.1e-06,5.04e-05,2.03e-05,14,1,3,1,21366380046756335616,2.70372573406154e-07,0
"STXBP1",2.92e-06,3.62e-06,2.21e-05,9.5e-06,6,9,0,0,6478890869218483,2.70372573406154e-07,6.10622663543836e-16
"ANKRD11",7.3e-06,6.19e-06,8.18e-05,4.79e-05,10,0,0,0,5986959854763.81,2.70372573406154e-07,5.23847631939134e-13
"DYRK1A",4.03e-06,3.92e-06,2.47e-05,9.38e-06,8,2,1,0,579393653553.559,2.70372573406154e-07,4.94317549855812e-12
"SCN1A",1e-05,1.58e-05,5.52e-05,2.16e-05,4,8,0,0,42685311710.8612,2.70372573406154e-07,5.66694627731782e-11
"MED13L",8.92e-06,1.1e-05,6.46e-05,2.75e-05,7,3,0,0,23999371786.0372,2.70372573406154e-07,1.3118514607946e-10
"ADNP",4.49e-06,1.54e-06,2.84e-05,1.15e-05,8,0,0,0,22686301842.2021,2.70372573406154e-07,1.93339936653084e-10
"CTNNB1",3.93e-06,2.2e-06,2.28e-05,7.64e-06,7,0,1,1,1002037603.51122,2.70372573406154e-07,1.73748683218733e-09
"WDR45",2.22e-06,2.06e-06,1.92e-05,8.92e-06,5,2,1,0,67076009.1911272,2.70372573406154e-07,2.28127897380662e-08
"TBR1",2.3e-06,4.7e-06,3.13e-05,1.88e-05,3,5,0,0,41118680.8642179,2.70372573406154e-07,5.26626223185112e-08
"CHD8",1.46e-05,1.3e-05,7.81e-05,2.63e-05,6,2,2,0,38108497.8289847,2.70372573406154e-07,8.02352465834898e-08
"POGZ",7.49e-06,4.76e-06,4.27e-05,1.65e-05,6,0,2,1,14422207.37592,2.70372573406154e-07,1.52096052752348e-07
"KMT2A",1.42e-05,1.14e-05,9.07e-05,3.68e-05,6,1,1,0,9032856.0485467,2.70372573406154e-07,2.57583380839736e-07
"CHD2",1.09e-05,8.87e-06,5.19e-05,2.02e-05,5,2,2,1,5242353.34933803,2.70372573406154e-07,4.28263843818555e-07
"WAC",3.47e-06,1.66e-06,1.7e-05,7.52e-06,5,0,0,0,1928991.55192663,2.70372573406154e-07,8.80814299262495e-07
"SATB2",3.21e-06,6.18e-06,2.51e-05,1.14e-05,4,2,3,0,1751387.87672081,2.70372573406154e-07,1.32883609790493e-06
"EP300",1.27e-05,1.32e-05,6.84e-05,2.6e-05,5,1,0,1,545058.544661844,2.70372573406154e-07,2.77164807199456e-06
"TCF4",3.45e-06,5.71e-06,2.08e-05,9.1e-06,4,1,1,2,316616.224058483,2.70372573406154e-07,5.10702156569232e-06
"FOXP1",4.47e-06,3.15e-06,2.2e-05,1.06e-05,4,1,0,0,280022.017495657,2.70372573406154e-07,7.52787061218475e-06
"SETBP1",5.57e-06,7.35e-06,5.22e-05,2.41e-05,3,3,0,0,264004.385729816,2.70372573406154e-07,9.8829186385909e-06
"KCNQ2",3.43e-06,1.29e-05,4.11e-05,2.23e-05,0,7,0,1,148475.354366296,2.70372573406154e-07,1.40404360100157e-05
"GABRB3",2.78e-06,2.53e-06,1.7e-05,7.99e-06,1,5,3,0,103123.742077153,2.70372573406154e-07,1.97844998662637e-05
"PPP2R5D",3.18e-06,3.91e-06,1.96e-05,7.84e-06,1,5,2,0,83285.1536843057,2.70372573406154e-07,2.65160549882904e-05
"KDM5B",1.07e-05,1.07e-05,4.5e-05,1.76e-05,3,3,0,0,67364.4206565724,2.70372573406154e-07,3.4438968988035e-05
"TRIP12",1.03e-05,2.13e-06,5.48e-05,2.11e-05,3,2,1,0,20218.1052021138,5.40745146812307e-07,6.18406017482605e-05
"ANK2",1.67e-05,3.47e-05,0.000109509,4.63e-05,4,2,2,0,19308.5230263486,5.40745146812307e-07,8.85865895077379e-05
"PTEN",2.08e-06,1.56e-06,1.03e-05,3.92e-06,1,4,0,0,15361.7480655918,5.40745146812307e-07,0.00012066326503155
"DSCAM",9.5e-06,9.98e-06,7e-05,3.29e-05,4,0,0,0,14571.7307521719,5.40745146812307e-07,0.00015244070338355
"SUV420H1",4.23e-06,4.46e-06,2.46e-05,1.08e-05,3,1,1,0,12661.2263835169,5.40745146812307e-07,0.000187389208151394
"GNAO1",1.9e-06,4.96e-06,1.8e-05,9.14e-06,1,4,0,0,12086.6144462611,5.40745146812307e-07,0.000221987101482062
"SLC6A1",2.47e-06,4.16e-06,2.04e-05,1.01e-05,1,4,0,0,11398.071292746,5.40745146812307e-07,0.000256854610206498
"GRIN2B",5.18e-06,9.62e-06,5.08e-05,2.34e-05,3,1,4,0,7953.46557031633,5.40745146812307e-07,0.000307121203220472
"DNMT3A",4.63e-06,5.33e-06,3.78e-05,1.68e-05,1,4,0,0,6549.62849705543,5.40745146812307e-07,0.00036652588877244
"MECP2",2.08e-06,2.05e-06,1.93e-05,9.12e-06,2,2,0,0,6136.93037163582,5.40745146812307e-07,0.000427076563938333
"SETD5",7.82e-06,1.31e-05,4.18e-05,1.55e-05,3,1,2,0,3737.13278045277,4.32596117449846e-06,0.000528362638232467
"CNOT3",3.55e-06,5.73e-06,2.8e-05,1.36e-05,2,2,0,0,3531.6498731541,4.32596117449846e-06,0.000630681620885035
"BCL11A",2.61e-06,1.3e-05,3.57e-05,2e-05,2,2,1,0,2898.64223408692,4.86670632131077e-06,0.000752350661966103
"HNRNPU",4.58e-06,2.83e-06,2.86e-05,1.45e-05,3,0,0,0,2777.61419017545,4.86670632131077e-06,0.000873759326724396
"AHDC1",4.89e-06,6.44e-06,6.5e-05,3.11e-05,3,0,1,0,2250.2900598313,6.48894176174769e-06,0.00102108056778829
"TCF7L2",4.33e-06,1.09e-05,2.53e-05,1.46e-05,3,0,0,0,2177.33221393525,6.48894176174769e-06,0.00116686308986532
"TBL1XR1",2.65e-06,1.04e-06,1.26e-05,5e-06,1,3,0,0,1864.17926466262,6.48894176174769e-06,0.00133354107191054
"SPAST",3.09e-06,3.06e-06,1.97e-05,8.79e-06,2,1,0,0,832.962578344046,1.35186286703077e-05,0.00172280477406945
"CDC42BPB",9.41e-06,7.98e-06,6.17e-05,3.04e-05,3,0,2,0,768.02516342216,1.405937381712e-05,0.00212876135861019
"DDX3X",3.22e-06,4.91e-06,2.23e-05,7.36e-06,2,1,2,0,738.311428545347,1.405937381712e-05,0.00253419428891726
"CAMK2A",2.91e-06,6.98e-06,1.77e-05,8.2e-06,2,1,1,0,716.431675336628,1.51408641107446e-05,0.00293558749785398
"NAA15",4e-06,2.84e-06,2.1e-05,8.13e-06,2,1,0,0,687.170239857005,1.56816092575569e-05,0.00333881723082912
"MYO1E",6.21e-06,5.59e-06,3.36e-05,1.48e-05,1,3,1,0,636.432925762236,1.56816092575569e-05,0.00376098341112331
"SCN8A",8.08e-06,1.49e-05,6.08e-05,2.43e-05,0,5,0,0,633.511256873446,1.56816092575569e-05,0.00416842546316492
"KAT6A",1.06e-05,1.05e-05,6.04e-05,2.4e-05,3,0,0,0,540.646956507159,1.78445898448061e-05,0.00463887933491225
"NSD1",1.21e-05,1.13e-05,7.32e-05,2.8e-05,2,2,0,0,414.981563503506,2.21705510193046e-05,0.00524927139281208
"RAI1",5.99e-06,5.31e-06,6.6e-05,3.33e-05,2,1,3,0,392.635924518003,2.37927864597415e-05,0.0058741952479415
"MYT1L",5.12e-06,9.49e-06,4.3e-05,2.2e-05,2,1,1,1,389.673611828247,2.37927864597415e-05,0.00648116669764607
"FOXG1",7.95e-07,3.83e-06,1.98e-05,1.32e-05,1,2,0,1,355.040793074226,2.59557670469908e-05,0.00713171886733687
"DNM1",4.18e-06,6.54e-06,3.39e-05,1.62e-05,0,4,1,1,342.246835367663,3.02817282214892e-05,0.00778601343635558
"RYR2",2.41e-05,2.19e-05,0.000146719,6.07e-05,1,5,1,1,337.152937437459,3.24447088087384e-05,0.0084284374836798
"PURA",7.85e-07,2.59e-06,7.39e-06,3.72e-06,2,0,1,1,315.464254094559,4.0555886010923e-05,0.00909885417589898
"KDM6B",7.52e-06,8.54e-06,6.5e-05,2.9e-05,2,1,1,0,242.014618131219,8.54377331963446e-05,0.00997512140319718
"ILF2",2.43e-06,7.2e-07,1.1e-05,4.01e-06,2,0,0,0,233.480544213556,9.78748715730276e-05,0.0108568887824305
"PTCHD1",2.24e-06,1.92e-06,2.65e-05,1.18e-05,2,0,0,0,232.256572408964,0.000100037852160277,0.0117148349018389
"ZBTB20",2.38e-06,2.09e-06,3.07e-05,1.63e-05,2,0,1,0,223.48150823218,0.000113015735683772,0.0125825035578181
"CHAMP1",2.44e-06,1.99e-06,2.1e-05,7.62e-06,2,0,0,0,221.346507917134,0.000117341696858271,0.01343199404594
"PPM1D",3e-06,1.52e-06,1.72e-05,8.23e-06,2,0,0,0,198.777380944547,0.000146541934786135,0.0143636367954122
"KATNAL2",2.75e-06,2.94e-06,1.51e-05,6.24e-06,2,0,0,0,198.748754703963,0.000146541934786135,0.0152667636715772
"GATAD2B",3.36e-06,4.29e-07,1.86e-05,6.37e-06,2,0,0,0,191.620204070425,0.000155734602281945,0.016180595101834
"KCNB1",3.11e-06,5.77e-06,3.05e-05,1.34e-05,1,2,0,0,191.547608837501,0.000155734602281945,0.0170675431832994
"SLC6A8",2.81e-06,3.64e-06,2.19e-05,1.16e-05,2,0,1,1,190.773771642051,0.000156816092575569,0.0179325723178767
"MYH10",1.03e-05,1.18e-05,6.48e-05,2.62e-05,1,3,0,0,183.854688911263,0.000163305034337317,0.018810669126749
"CUL3",3.81e-06,3.85e-06,2.24e-05,7.94e-06,2,0,0,1,151.226011398058,0.000223868490780295,0.0198829838848815
"ITPR1",1.24e-05,2.31e-05,8.43e-05,3.83e-05,0,5,0,2,148.602938368041,0.000232520413129292,0.0209462048250201
"ATP1A1",4.63e-06,7.15e-06,3.1e-05,1.34e-05,1,2,0,0,128.045654548835,0.000279565240901963,0.0221693697758555
"MBD5",4.55e-06,4.19e-06,3.86e-05,1.62e-05,2,0,0,0,126.637825194037,0.000284972692370086,0.0233737971218149
"PHF2",4.55e-06,4.28e-06,3.95e-05,2.15e-05,2,0,0,0,126.19779597841,0.000285513437516898,0.0245502869784886
"RANBP17",5.18e-06,1.9e-06,2.83e-05,1.09e-05,2,0,2,1,120.611560745333,0.000294706105012708,0.0257557617202494
"GNAI1",1.53e-06,1.42e-06,1.04e-05,4.32e-06,0,3,0,0,117.478908107977,0.00030227653706808,0.0269651029549901
"RFX7",4.7e-06,5.49e-06,3.85e-05,1.5e-05,2,0,2,0,116.551515810792,0.000307143243389391,0.0281537511656709
"IQSEC2",4.79e-06,6.67e-06,4.95e-05,2.05e-05,2,0,0,0,109.286053903106,0.000330936029849132,0.0294002512376401
"KANSL1",5.37e-06,5.7e-06,3.42e-05,1.31e-05,2,0,1,0,99.7875326539511,0.000362839993511058,0.0307457663469813
"ZC3H4",5.7e-06,5.19e-06,4.57e-05,2.31e-05,2,0,1,0,94.6594656671587,0.000372032661006867,0.0321364845884701
"CDAN1",5.55e-06,6.27e-06,4.47e-05,1.99e-05,2,0,0,0,93.8897772843815,0.000374195641594117,0.0335051806897375
"NCKAP1",6.11e-06,3.19e-06,2.95e-05,1.12e-05,2,0,0,0,93.5405903572483,0.000375277131887741,0.03484607006886
"CACNA2D3",5.87e-06,4.55e-06,3.29e-05,1.56e-05,2,0,0,0,93.4805510235695,0.000375817877034554,0.0361555996190104
"CASK",5.33e-06,8.03e-06,2.7e-05,1.2e-05,2,0,3,0,92.2802544593192,0.000380143838209052,0.0374529503032108
"GIGYF1",6.63e-06,2.13e-06,3.92e-05,1.79e-05,2,0,0,0,87.1482621712809,0.000391499486292111,0.0388050020952333
"RALGAPB",6.27e-06,4.93e-06,4.04e-05,1.45e-05,2,0,0,1,84.4534432409526,0.00039852917320067,0.0401733011431999
"KMT2C",2.41e-05,3.06e-05,0.000131663,5.13e-05,2,3,0,0,79.789864723197,0.000415292272751852,0.041598016871785
"PTPN11",3.37e-06,2.12e-06,1.86e-05,8.1e-06,0,3,0,0,76.6077444618151,0.000425566430541286,0.0430546693730107
"SMC3",7.85e-06,5.72e-06,3.1e-05,1.04e-05,1,2,0,0,71.5412770116263,0.00044773698156059,0.0445894173935027
"KMT2E",7.19e-06,5.41e-06,4.82e-05,1.9e-05,2,0,0,0,67.9858125232748,0.000470448277726707,0.0461748989093665
"TSPAN4",1.13e-06,1.55e-06,9.8e-06,6.07e-06,1,1,0,0,67.6613205828722,0.000472070513167144,0.0477335490481517
"MLH1",3.36e-06,4.29e-06,2.07e-05,8.23e-06,0,3,0,0,65.7539392936713,0.000495322554480074,0.0493061896377955
"TOP2B",7.39e-06,5.37e-06,4.05e-05,1.55e-05,2,0,0,0,65.2297252212321,0.000498026280214135,0.0508584172231676
"PRKAR1B",1.67e-06,1.6e-06,1.74e-05,8.57e-06,1,1,1,0,59.9899606773794,0.000536419185637809,0.0525203056849083
"SLC2A1",1.69e-06,1.62e-06,2e-05,9.09e-06,1,1,0,0,59.6687829795335,0.000538582166225058,0.0541564999372518
"TUBA1A",1.61e-06,2.01e-06,1.52e-05,5.58e-06,1,1,0,0,59.5238965224363,0.000540204401665495,0.0557627809822982
"CYP27C1",1.74e-06,2.45e-06,1.28e-05,5.79e-06,1,1,1,0,56.5915548489565,0.000578597307089169,0.0574231131897315
"PLA1A",1.77e-06,2.68e-06,1.33e-05,5.93e-06,1,1,1,0,55.5766141420755,0.000587789974584978,0.0590810791657353
"ASXL3",7.96e-06,7.55e-06,5.78e-05,2.48e-05,2,0,0,0,53.2137507131583,0.000616990212512843,0.0607817483139254
"DIP2A",6.01e-06,2.13e-05,5.95e-05,3e-05,2,0,0,1,50.8054367275255,0.000649434921321581,0.0625308092604877
"LRP2",2.33e-05,4.27e-05,0.000138327,5.57e-05,3,1,1,0,50.2968744268337,0.000654842372789704,0.0642632263660627
"PBX1",2.39e-06,2.09e-06,1.45e-05,6.94e-06,1,1,0,0,50.0663212063548,0.000656464608230141,0.065969841466167
"KDM6A",7.72e-06,1.07e-05,3.52e-05,1.53e-05,2,0,0,0,49.9677305808554,0.00065862758881739,0.0676467942517808
"MYH13",8.31e-06,8.48e-06,6.07e-05,2.83e-05,2,0,0,0,47.7376757263627,0.000694857513653815,0.0693722229922569
"HIVEP2",8.3e-06,8.83e-06,6.83e-05,2.99e-05,2,0,1,0,47.23264400901,0.000703509436002812,0.071083681169884
"KCNQ3",4.3e-06,6.75e-06,3.27e-05,1.65e-05,0,3,0,0,45.8718295926206,0.000727842967609366,0.0728148086087915
"GALNT18",2.61e-06,3.11e-06,2.25e-05,1.04e-05,1,1,0,0,45.3598531993537,0.00073595414481155,0.0745335392949041
"ETF1",2.75e-06,2.75e-06,1.22e-05,5.27e-06,1,1,0,0,44.8162605424876,0.000744065322013735,0.0762418052637674
"GABRB1",2.87e-06,4.18e-06,1.59e-05,6.77e-06,1,1,0,0,40.6767772972666,0.000817065916833396,0.0780933171755858
"MEF2C",2.73e-06,4.93e-06,1.67e-05,8.19e-06,1,1,0,0,40.4035499321143,0.000821932623154707,0.0799234830157577
"CAPN8",2.83e-06,4.54e-06,2.04e-05,9.51e-06,1,1,0,1,40.3073472099112,0.000823554858595144,0.0817249992513205
"CREBBP",1.2e-05,1.5e-05,8.13e-05,3.74e-05,0,4,1,1,40.2466135924944,0.000824095603741956,0.0834970600319858
"TNRC6B",9.12e-06,8.72e-06,5.11e-05,2.29e-05,2,0,0,0,39.878025569224,0.000831125290650516,0.0852542112971472
"NRXN1",7.6e-06,1.79e-05,5.79e-05,2.86e-05,1,2,0,0,38.6804300320089,0.000853295841669821,0.087035056246048
"KAT6B",8.65e-06,1.39e-05,5.87e-05,2.49e-05,1,2,1,0,38.5130580618487,0.00085545882225707,0.0887926736753978
"NUAK1",3.19e-06,4.22e-06,2.45e-05,9.88e-06,1,1,0,0,37.908241419644,0.000865732980046504,0.0905481286534996
"GRIA1",4.24e-06,9.83e-06,3.13e-05,1.38e-05,0,3,0,0,37.7602967843981,0.00086951819607419,0.0922804968412498
"BTBD9",3.34e-06,3.76e-06,1.84e-05,6.81e-06,1,1,0,0,37.5573370140793,0.000873844157248689,0.0939929791066971
"CHD4",1.07e-05,2.02e-05,6.18e-05,2.15e-05,0,4,0,1,35.6792285050199,0.000915481533553236,0.0957671569200759
"SH3D19",4.1e-06,3e-06,2e-05,7.75e-06,1,1,1,0,33.1901993918911,0.000966311577353593,0.09764130215196
"WDR19",6.91e-06,4.02e-06,3.56e-05,1.33e-05,0,3,0,0,33.103309299897,0.00096793381279403,0.0994891913131124
"ZMYND11",4.11e-06,3.24e-06,1.93e-05,6.6e-06,1,1,0,0,32.7251275336083,0.000976044989996215,0.101327364732163
"ZNF292",1.07e-05,6.53e-06,6.68e-05,2.65e-05,2,0,0,0,31.096957966115,0.00100362299248364,0.103227290451063
"TGM1",4.22e-06,4.36e-06,3.17e-05,1.34e-05,1,1,0,0,30.2471263471248,0.0010236305629157,0.105146579858988
"CDKL5",4.66e-06,3.54e-06,3.01e-05,1.21e-05,1,1,2,0,28.7089983085354,0.00105661601687125,0.107129778041452
"FBXO18",4.83e-06,4.51e-06,3.55e-05,1.66e-05,1,1,0,0,26.4058858897474,0.00110582382523117,0.10923487996952
"LZTR1",3.88e-06,8.79e-06,3.6e-05,1.76e-05,1,1,0,0,26.2997259450154,0.00110798680581842,0.111314247767861
"NR3C2",4.97e-06,4.33e-06,2.75e-05,1.28e-05,1,1,1,0,25.8698023975238,0.00111934245390148,0.113391312909848
"BAZ2B",1.08e-05,1.12e-05,5.38e-05,1.98e-05,2,0,1,0,25.7036875367327,0.00112420916022279,0.115447915720411
"SON",9.5e-06,2.01e-05,7.6e-05,2.92e-05,2,0,1,0,25.0402000317912,0.00114746120153572,0.11752035831006
"CACNA1D",1.12e-05,2.45e-05,7.35e-05,3.21e-05,0,4,0,0,24.4483253808656,0.00117449845887633,0.119604507716176
"CNOT1",1.17e-05,1.19e-05,6.72e-05,2.54e-05,1,2,0,1,23.4426489183257,0.00120315795165738,0.121733159718947
"MTUS1",5.73e-06,3.89e-06,3.5e-05,1.55e-05,1,1,1,0,22.5607598417834,0.00123560266046612,0.123899285730936
"TCF3",3.73e-06,1.3e-05,3.49e-05,1.91e-05,1,1,1,0,22.4368216979,0.00123992862164062,0.126043029531816
"MYO5A",1.17e-05,1.34e-05,5.46e-05,1.94e-05,1,2,0,1,21.6171124619468,0.00126318066295355,0.128221974559152
"TLK2",5.96e-06,3.93e-06,2.08e-05,8.57e-06,1,1,4,0,21.4667279415469,0.00126480289839399,0.130381389127617
"ZRANB3",5.68e-06,5.39e-06,2.75e-05,1.06e-05,1,1,1,0,21.180805444933,0.00127345482074298,0.13253317577009
"SETD2",1.26e-05,8.09e-06,6.6e-05,2.46e-05,2,0,1,2,19.8845697921437,0.00133347753203915,0.134766113128615
"CDK13",1.02e-06,1.42e-06,1.88e-05,8.78e-06,0,2,0,0,19.7983137699536,0.00133834423836046,0.136974632645108
"NIN",1.15e-05,1.48e-05,5.85e-05,2.47e-05,2,0,0,0,19.6570967667183,0.0013442924349754,0.139164216348676
"MUC21",2.07e-07,6.46e-08,1.21e-05,5.45e-06,1,0,0,0,19.0535152098002,0.00137187043746282,0.141377424140199
"S100G",2.95e-07,3.76e-07,1.48e-06,6.57e-07,1,0,0,0,18.4500915495798,0.00143351538419943,0.143615663165259
"NFKBIL1",3.45e-07,2.95e-07,2.24e-06,1.01e-06,1,0,0,0,18.3079008514858,0.00145947115124642,0.145836037862956
"NRG4",4.57e-07,3.48e-07,3.16e-06,1.45e-06,1,0,0,0,17.8224007227472,0.0015551830422322,0.148071998441416
"CUX2",5.99e-06,7.86e-06,5.79e-05,3.03e-05,1,1,2,0,17.6502676308309,0.0016038501054453,0.150293787005393
"TMEM105",6.36e-07,6.17e-08,3.95e-06,1.86e-06,1,0,0,0,17.3351091812502,0.00171308062510139,0.15251589756196
"RIPPLY1",5.94e-07,3.54e-07,3.61e-06,1.72e-06,1,0,0,0,17.2882275018414,0.00172930297950576,0.154712369472123
"OR51A2",5.63e-07,5.62e-07,6.97e-06,2.87e-06,1,0,0,0,17.259735552172,0.00173633266641432,0.156881938868983
"PTMS",6.68e-07,2.83e-08,3.67e-06,2.01e-06,1,0,0,1,17.2370726797225,0.00174768831449738,0.159024585987381
"RYBP",7.04e-07,0,7e-06,3.25e-06,1,0,0,0,17.1209965857739,0.00180500730005948,0.161149902047465
"RIMS1",1.24e-05,1.35e-05,6.01e-05,2.55e-05,2,0,0,0,17.0944113634262,0.00181744443843617,0.163249636085724
"OR10Z1",5.78e-07,9.58e-07,7.34e-06,3.35e-06,1,0,1,0,16.928610550801,0.00189152652354945,0.165337745243576
"YWHAG",1.43e-06,2.64e-06,1.06e-05,6.2e-06,0,2,0,0,16.8674222188551,0.0019201860163305,0.16740446712858
"KCNE2",6.32e-07,8.42e-07,3.62e-06,1.46e-06,1,0,0,0,16.8073399770362,0.0019553344508733,0.169450133790974
"OR2T10",6.71e-07,6.44e-07,8.19e-06,3.06e-06,1,0,0,0,16.798190075423,0.00196560860866274,0.171470281981444
"OR4C11",6.4e-07,9.34e-07,7.65e-06,2.75e-06,1,0,0,0,16.7153758989609,0.00200724598496728,0.173472441974171
"IFNA10",7.72e-07,4.08e-07,4.12e-06,1.8e-06,1,0,0,0,16.5879291467462,0.00208403179581463,0.17546127289099
"MLANA",7.81e-07,4.18e-07,3.23e-06,1.44e-06,1,0,0,0,16.5484144408921,0.002108906072568,0.17742869948028
"CA3",1.66e-06,2.23e-06,8.12e-06,4e-06,0,2,0,0,16.4925471076323,0.00215054344887255,0.179376691968449
"NLGN2",1.19e-06,3.86e-06,2.3e-05,1.13e-05,0,2,0,0,16.4649938762236,0.00215973611636836,0.181302945452496
"N6AMT1",6.86e-07,1.19e-06,6.92e-06,3.71e-06,1,0,0,0,16.3768085590324,0.00222084031795815,0.183213604719676
"BST2",8.14e-07,6.22e-07,6.02e-06,3.22e-06,1,0,0,0,16.2930208915534,0.00227761855837344,0.185108587842688
"C11orf24",8.76e-07,3.78e-07,1.44e-05,7.04e-06,1,0,0,0,16.2332756025562,0.0023154707186503,0.18698595212662
"IL3",9.14e-07,2.16e-07,5.29e-06,2.68e-06,1,0,0,0,16.205363836779,0.00233223381820148,0.188843044253999
"FAM168B",9.21e-07,2.33e-07,6.56e-06,3.48e-06,1,0,0,0,16.1692606030043,0.0023592710755421,0.190681004577335
"ASB17",9.33e-07,2.75e-07,7e-06,2.77e-06,1,0,0,0,16.0991082553566,0.00241496782566376,0.192503367671127
"PLA2G16",7.72e-07,1.2e-06,5.71e-06,2.54e-06,1,0,0,0,16.0636490058894,0.00245065700535338,0.194307206375483
"MFSD3",7.71e-07,1.24e-06,1.17e-05,7.16e-06,1,0,0,1,16.0412891479351,0.00247390904666631,0.196091643305661
"SPP2",9.15e-07,5.3e-07,6.36e-06,2.77e-06,1,0,0,0,15.9955872392092,0.00250689450062186,0.197859182655694
"EEF1A2",1.31e-06,3.93e-06,2.19e-05,1.25e-05,0,2,1,0,15.9925209206658,0.00250797599091548,0.199606209330514
"HOXD1",8.16e-07,1.12e-06,6.99e-06,4.31e-06,1,0,0,0,15.9605855570612,0.00252906505164116,0.20133572501827
"SMC1A",6.35e-06,8.6e-06,4e-05,1.3e-05,1,1,0,0,15.8262154223518,0.00262207321689288,0.203057417940706
"USP9X",1.35e-05,9.48e-06,6.81e-05,2.52e-05,2,0,2,1,15.7620865414484,0.00266857729951874,0.204765074283925
"OR2L3",1.03e-06,3.28e-07,8.03e-06,2.89e-06,1,0,0,0,15.7263795231435,0.00270480722435516,0.206456360912853
"AP3S2",9.93e-07,5.72e-07,6.03e-06,2.31e-06,1,0,0,0,15.697518528433,0.00272805926566809,0.20813094266382
"DESI2",9.31e-07,9.12e-07,5.52e-06,2.63e-06,1,0,0,0,15.6942647009147,0.00272968150110853,0.209786789542941
"IL27",9.87e-07,6.79e-07,8.39e-06,3.58e-06,1,0,0,0,15.6499510500776,0.00277185962255989,0.211427920002797
"NUDT4",9.47e-07,9.25e-07,5.82e-06,2.73e-06,1,0,0,0,15.6310685388709,0.00278700048667063,0.213052306414794
"LYPD4",9.32e-07,1.02e-06,7.25e-06,3.4e-06,1,0,0,0,15.622410819325,0.00279078570269832,0.214659317044917
"RPL12",1.12e-06,1.17e-08,4.96e-06,2.41e-06,1,0,0,0,15.6203689861052,0.00279240793813876,0.216248653539222
"CHMP2A",9.68e-07,9.65e-07,9.19e-06,2.97e-06,1,0,1,0,15.5341018494041,0.00286811225869248,0.217828077463572
"ZFAND5",9.69e-07,1.06e-06,5.13e-06,1.91e-06,1,0,0,0,15.4711564523996,0.00291894230249283,0.219395722273803
"GABRA1",1.76e-06,3.04e-06,1.28e-05,5.32e-06,0,2,0,0,15.3757735805106,0.00300654301627643,0.220954682313051
"C15orf62",1.01e-06,9.95e-07,6.16e-06,2.36e-06,1,0,0,0,15.3731063245653,0.00300870599686368,0.222496932828782
"RGS2",1.07e-06,8.62e-07,5.49e-06,2.17e-06,1,0,0,0,15.2543064387088,0.00312496620342832,0.224032992487933
"C21orf2",8.83e-07,1.94e-06,1.15e-05,5.1e-06,1,0,0,0,15.2182962646811,0.00317363326664143,0.225555711436143
"NBEA",1.37e-05,9.38e-06,7.33e-05,2.7e-05,2,0,1,0,15.196290786516,0.00318661115016493,0.227064078730252
"SLC25A6",1.1e-06,1.07e-06,1.51e-05,8.5e-06,1,0,0,1,15.0274566568156,0.00336289406802574,0.228571251607664
"NPBWR1",7.19e-07,3.23e-06,1.72e-05,1e-05,1,0,0,0,14.9915225473668,0.00339804250256854,0.230065640902717
"OR52M1",9.53e-07,1.98e-06,9.52e-06,3.57e-06,1,0,0,0,14.9625258408424,0.00344346509490077,0.231546845967216
"SIRPB2",1.04e-06,1.52e-06,9.71e-06,4.11e-06,1,0,0,0,14.9527152137416,0.00345211701724977,0.233013399072035
"CHD3",1.27e-05,1.68e-05,7.39e-05,3.21e-05,1,2,0,1,14.8931846828239,0.00351159898339912,0.234469866778576
"TCTE3",1.25e-06,4.96e-07,5.49e-06,2.44e-06,1,0,0,0,14.8850722656607,0.00351754718001406,0.235911946869342
"VAPA",1.06e-06,1.55e-06,8.02e-06,3.57e-06,1,0,0,0,14.8694486243202,0.0035370140052993,0.237340512562058
"TM4SF19",1.17e-06,1.16e-06,6.43e-06,3.14e-06,1,0,0,0,14.7453837246573,0.00365814091818526,0.238765159553581
"PCDHA13",9.01e-07,2.75e-06,5.66e-06,2.19e-06,1,0,1,0,14.6787249950106,0.00374411939652842,0.240181042830185
"SET",1.36e-06,3.45e-07,8.74e-06,4.4e-06,1,0,1,0,14.6215323047634,0.00381982371708214,0.241587500284113
"SLC34A1",2.06e-06,2.97e-06,2.19e-05,1e-05,0,2,0,0,14.5159486500568,0.00396690639701509,0.24298888965747
"IFI30",1.24e-06,1.17e-06,8.15e-06,4.62e-06,1,0,0,0,14.5155973325851,0.00396690639701509,0.244376225076413
"SPDYC",1.38e-06,6.17e-07,9.9e-06,3.51e-06,1,0,0,0,14.3974554642068,0.00410912237062672,0.245759885965274
"STMN4",1.3e-06,1.23e-06,7.23e-06,3.57e-06,1,0,0,0,14.2919607368771,0.00424106418644893,0.247138908455196
"SIX2",1.11e-06,2.37e-06,1.43e-05,7.77e-06,1,0,0,0,14.2341234611579,0.00431622776185584,0.248509284843898
